method,usability,errors
account.acceptAuthorization,user,
account.cancelPasswordEmail,user,
account.changePhone,user,PHONE_NUMBER_INVALID
account.checkUsername,user,USERNAME_INVALID
account.confirmPasswordEmail,user,
account.confirmPhone,user,CODE_HASH_INVALID PHONE_CODE_EMPTY
account.createTheme,user,THEME_MIME_INVALID
account.declinePasswordReset,user,RESET_REQUEST_MISSING
account.deleteAccount,user,2FA_CONFIRM_WAIT_X
account.deleteSecureValue,user,
account.finishTakeoutSession,user,
account.getAccountTTL,user,
account.getAllSecureValues,user,
account.getAuthorizationForm,user,PUBLIC_KEY_REQUIRED
account.getAuthorizations,user,
account.getAutoDownloadSettings,user,
account.getContactSignUpNotification,user,
account.getContentSettings,user,
account.getMultiWallPapers,user,
account.getNotifyExceptions,user,
account.getNotifySettings,user,PEER_ID_INVALID
account.getPassword,user,
account.getPasswordSettings,user,PASSWORD_HASH_INVALID
account.getPrivacy,user,PRIVACY_KEY_INVALID
account.getSecureValue,user,
account.getTheme,user,
account.getThemes,user,
account.getTmpPassword,user,PASSWORD_HASH_INVALID TMP_PASSWORD_DISABLED
account.getWallPaper,user,WALLPAPER_INVALID
account.getWallPapers,user,
account.getWebAuthorizations,user,
account.initTakeoutSession,user,
account.installTheme,user,
account.installWallPaper,user,WALLPAPER_INVALID
account.registerDevice,user,TOKEN_INVALID
account.reportPeer,user,PEER_ID_INVALID
account.resendPasswordEmail,user,
account.resetAuthorization,user,HASH_INVALID
account.resetNotifySettings,user,
account.resetWallPapers,user,
account.resetWebAuthorization,user,
account.resetWebAuthorizations,user,
account.saveAutoDownloadSettings,user,
account.saveSecureValue,user,PASSWORD_REQUIRED
account.saveTheme,user,
account.saveWallPaper,user,WALLPAPER_INVALID
account.sendChangePhoneCode,user,FRESH_CHANGE_PHONE_FORBIDDEN PHONE_NUMBER_INVALID
account.sendConfirmPhoneCode,user,HASH_INVALID
account.sendVerifyEmailCode,user,EMAIL_INVALID
account.sendVerifyPhoneCode,user,
account.setAccountTTL,user,TTL_DAYS_INVALID
account.setContactSignUpNotification,user,
account.setContentSettings,user,SENSITIVE_CHANGE_FORBIDDEN
account.setGlobalPrivacySettings,user,AUTOARCHIVE_NOT_AVAILABLE
account.setPrivacy,user,PRIVACY_KEY_INVALID PRIVACY_TOO_LONG
account.unregisterDevice,user,TOKEN_INVALID
account.updateDeviceLocked,user,
account.updateNotifySettings,user,PEER_ID_INVALID
account.updatePasswordSettings,user,EMAIL_UNCONFIRMED_X NEW_SALT_INVALID NEW_SETTINGS_INVALID PASSWORD_HASH_INVALID
account.updateProfile,user,ABOUT_TOO_LONG FIRSTNAME_INVALID
account.updateStatus,user,SESSION_PASSWORD_NEEDED
account.updateTheme,user,THEME_INVALID
account.updateUsername,user,USERNAME_INVALID USERNAME_NOT_MODIFIED USERNAME_OCCUPIED
account.uploadTheme,user,
account.uploadWallPaper,user,WALLPAPER_FILE_INVALID WALLPAPER_MIME_INVALID
account.verifyEmail,user,EMAIL_INVALID
account.verifyPhone,user,
auth.acceptLoginToken,user,
auth.bindTempAuthKey,both,ENCRYPTED_MESSAGE_INVALID INPUT_REQUEST_TOO_LONG TEMP_AUTH_KEY_EMPTY TIMEOUT
auth.cancelCode,user,PHONE_NUMBER_INVALID
auth.checkPassword,user,PASSWORD_HASH_INVALID
auth.checkRecoveryPassword,user,PASSWORD_RECOVERY_EXPIRED
auth.dropTempAuthKeys,both,
auth.exportAuthorization,both,DC_ID_INVALID
auth.exportLoginToken,user,
auth.importAuthorization,both,AUTH_BYTES_INVALID USER_ID_INVALID
auth.importBotAuthorization,both,ACCESS_TOKEN_EXPIRED ACCESS_TOKEN_INVALID API_ID_INVALID
auth.importLoginToken,user,AUTH_TOKEN_ALREADY_ACCEPTED AUTH_TOKEN_EXPIRED AUTH_TOKEN_INVALID
auth.logOut,both,
auth.recoverPassword,user,CODE_EMPTY NEW_SETTINGS_INVALID
auth.requestPasswordRecovery,user,PASSWORD_EMPTY PASSWORD_RECOVERY_NA
auth.resendCode,user,PHONE_NUMBER_INVALID
auth.resetAuthorizations,user,TIMEOUT
auth.sendCode,user,API_ID_INVALID API_ID_PUBLISHED_FLOOD AUTH_RESTART INPUT_REQUEST_TOO_LONG PHONE_NUMBER_APP_SIGNUP_FORBIDDEN PHONE_NUMBER_BANNED PHONE_NUMBER_FLOOD PHONE_NUMBER_INVALID PHONE_PASSWORD_FLOOD PHONE_PASSWORD_PROTECTED
auth.signIn,user,PHONE_CODE_EMPTY PHONE_CODE_EXPIRED PHONE_CODE_INVALID PHONE_NUMBER_INVALID PHONE_NUMBER_UNOCCUPIED SESSION_PASSWORD_NEEDED
auth.signUp,user,FIRSTNAME_INVALID MEMBER_OCCUPY_PRIMARY_LOC_FAILED PHONE_CODE_EMPTY PHONE_CODE_EXPIRED PHONE_CODE_INVALID PHONE_NUMBER_FLOOD PHONE_NUMBER_INVALID PHONE_NUMBER_OCCUPIED REG_ID_GENERATE_FAILED
bots.answerWebhookJSONQuery,bot,QUERY_ID_INVALID USER_BOT_INVALID
bots.sendCustomRequest,bot,USER_BOT_INVALID
bots.setBotCommands,bot,BOT_COMMAND_DESCRIPTION_INVALID BOT_COMMAND_INVALID LANG_CODE_INVALID
channels.checkUsername,user,CHANNEL_INVALID CHAT_ID_INVALID USERNAME_INVALID
channels.convertToGigagroup,user,PARTICIPANTS_TOO_FEW
channels.createChannel,user,CHAT_TITLE_EMPTY USER_RESTRICTED
channels.deleteChannel,user,CHANNEL_INVALID CHANNEL_PRIVATE CHANNEL_TOO_LARGE
channels.deleteHistory,user,
channels.deleteMessages,both,CHANNEL_INVALID CHANNEL_PRIVATE MESSAGE_DELETE_FORBIDDEN
channels.deleteUserHistory,user,CHANNEL_INVALID CHAT_ADMIN_REQUIRED
channels.editAdmin,both,ADMINS_TOO_MUCH ADMIN_RANK_EMOJI_NOT_ALLOWED ADMIN_RANK_INVALID BOT_CHANNELS_NA CHANNEL_INVALID CHAT_ADMIN_INVITE_REQUIRED CHAT_ADMIN_REQUIRED FRESH_CHANGE_ADMINS_FORBIDDEN RIGHT_FORBIDDEN USER_CREATOR USER_ID_INVALID USER_NOT_MUTUAL_CONTACT USER_PRIVACY_RESTRICTED
channels.editBanned,both,CHANNEL_INVALID CHANNEL_PRIVATE CHAT_ADMIN_REQUIRED USER_ADMIN_INVALID USER_ID_INVALID
channels.editCreator,user,PASSWORD_MISSING PASSWORD_TOO_FRESH_X SESSION_TOO_FRESH_X SRP_ID_INVALID
channels.editLocation,user,
channels.editPhoto,both,CHANNEL_INVALID CHAT_ADMIN_REQUIRED FILE_REFERENCE_INVALID PHOTO_INVALID
channels.editTitle,both,CHANNEL_INVALID CHAT_ADMIN_REQUIRED CHAT_NOT_MODIFIED
channels.exportMessageLink,user,CHANNEL_INVALID
channels.getAdminLog,user,CHANNEL_INVALID CHANNEL_PRIVATE CHAT_ADMIN_REQUIRED
channels.getAdminedPublicChannels,user,
channels.getChannels,both,CHANNEL_INVALID CHANNEL_PRIVATE NEED_CHAT_INVALID
channels.getFullChannel,both,CHANNEL_INVALID CHANNEL_PRIVATE CHANNEL_PUBLIC_GROUP_NA TIMEOUT
channels.getGroupsForDiscussion,user,
channels.getInactiveChannels,user,
channels.getLeftChannels,user,
channels.getMessages,both,CHANNEL_INVALID CHANNEL_PRIVATE MESSAGE_IDS_EMPTY
channels.getParticipant,both,CHANNEL_INVALID CHANNEL_PRIVATE CHAT_ADMIN_REQUIRED USER_ID_INVALID USER_NOT_PARTICIPANT
channels.getParticipants,both,CHANNEL_INVALID CHANNEL_PRIVATE CHAT_ADMIN_REQUIRED INPUT_CONSTRUCTOR_INVALID TIMEOUT
channels.inviteToChannel,user,BOTS_TOO_MUCH BOT_GROUPS_BLOCKED CHANNEL_INVALID CHANNEL_PRIVATE CHAT_ADMIN_REQUIRED CHAT_INVALID CHAT_WRITE_FORBIDDEN INPUT_USER_DEACTIVATED USERS_TOO_MUCH USER_BANNED_IN_CHANNEL USER_BLOCKED USER_BOT USER_CHANNELS_TOO_MUCH USER_ID_INVALID USER_KICKED USER_NOT_MUTUAL_CONTACT USER_PRIVACY_RESTRICTED
channels.joinChannel,user,CHANNELS_TOO_MUCH CHANNEL_INVALID CHANNEL_PRIVATE
channels.leaveChannel,both,CHANNEL_INVALID CHANNEL_PRIVATE CHANNEL_PUBLIC_GROUP_NA USER_CREATOR USER_NOT_PARTICIPANT
channels.readHistory,user,CHANNEL_INVALID CHANNEL_PRIVATE
channels.readMessageContents,user,CHANNEL_INVALID CHANNEL_PRIVATE
channels.reportSpam,user,CHANNEL_INVALID INPUT_USER_DEACTIVATED
channels.setDiscussionGroup,user,BROADCAST_ID_INVALID LINK_NOT_MODIFIED MEGAGROUP_ID_INVALID MEGAGROUP_PREHISTORY_HIDDEN
channels.setStickers,both,CHANNEL_INVALID PARTICIPANTS_TOO_FEW STICKERSET_OWNER_ANONYMOUS
channels.togglePreHistoryHidden,user,CHAT_LINK_EXISTS
channels.toggleSignatures,user,CHANNEL_INVALID
channels.toggleSlowMode,user,SECONDS_INVALID
channels.updateUsername,user,CHANNELS_ADMIN_PUBLIC_TOO_MUCH CHANNEL_INVALID CHAT_ADMIN_REQUIRED USERNAME_INVALID USERNAME_OCCUPIED
channels.viewSponsoredMessage,user,UNKNOWN_ERROR
contacts.acceptContact,user,
contacts.addContact,user,CONTACT_NAME_EMPTY
contacts.block,user,CONTACT_ID_INVALID
contacts.deleteByPhones,user,
contacts.deleteContacts,user,NEED_MEMBER_INVALID TIMEOUT
contacts.getBlocked,user,
contacts.getContactIDs,user,
contacts.getContacts,user,
contacts.getLocated,user,USERPIC_UPLOAD_REQUIRED
contacts.getSaved,user,TAKEOUT_REQUIRED
contacts.getStatuses,user,
contacts.getTopPeers,user,TYPES_EMPTY
contacts.importContacts,user,
contacts.resetSaved,user,
contacts.resetTopPeerRating,user,PEER_ID_INVALID
contacts.resolveUsername,both,AUTH_KEY_PERM_EMPTY SESSION_PASSWORD_NEEDED USERNAME_INVALID USERNAME_NOT_OCCUPIED
contacts.search,user,QUERY_TOO_SHORT SEARCH_QUERY_EMPTY TIMEOUT
contacts.toggleTopPeers,user,
contacts.unblock,user,CONTACT_ID_INVALID
folders.deleteFolder,user,FOLDER_ID_EMPTY
folders.editPeerFolders,user,FOLDER_ID_INVALID
getFutureSalts,both,
help.acceptTermsOfService,user,
help.editUserInfo,user,USER_INVALID
help.getAppChangelog,user,
help.getAppConfig,user,
help.getAppUpdate,user,
help.getCdnConfig,both,AUTH_KEY_PERM_EMPTY TIMEOUT
help.getConfig,both,AUTH_KEY_DUPLICATED TIMEOUT
help.getDeepLinkInfo,user,
help.getInviteText,user,
help.getNearestDc,user,
help.getPassportConfig,user,
help.getProxyData,user,
help.getRecentMeUrls,user,
help.getSupport,user,
help.getSupportName,user,USER_INVALID
help.getTermsOfServiceUpdate,user,
help.getUserInfo,user,USER_INVALID
help.saveAppLog,user,
help.setBotUpdatesStatus,both,
initConnection,both,CONNECTION_LAYER_INVALID INPUT_FETCH_FAIL
invokeAfterMsg,both,
invokeAfterMsgs,both,
invokeWithLayer,both,AUTH_BYTES_INVALID AUTH_KEY_DUPLICATED CDN_METHOD_INVALID CHAT_WRITE_FORBIDDEN CONNECTION_API_ID_INVALID CONNECTION_DEVICE_MODEL_EMPTY CONNECTION_LANG_PACK_INVALID CONNECTION_NOT_INITED CONNECTION_SYSTEM_EMPTY INPUT_LAYER_INVALID INVITE_HASH_EXPIRED NEED_MEMBER_INVALID TIMEOUT
invokeWithMessagesRange,both,
invokeWithTakeout,both,
invokeWithoutUpdates,both,
langpack.getDifference,user,LANG_PACK_INVALID
langpack.getLangPack,user,LANG_PACK_INVALID
langpack.getLanguage,user,
langpack.getLanguages,user,LANG_PACK_INVALID
langpack.getStrings,user,LANG_PACK_INVALID
messages.acceptEncryption,user,CHAT_ID_INVALID ENCRYPTION_ALREADY_ACCEPTED ENCRYPTION_ALREADY_DECLINED ENCRYPTION_OCCUPY_FAILED
messages.acceptUrlAuth,user,
messages.addChatUser,user,CHAT_ADMIN_REQUIRED CHAT_ID_INVALID INPUT_USER_DEACTIVATED PEER_ID_INVALID USERS_TOO_MUCH USER_ALREADY_PARTICIPANT USER_ID_INVALID USER_NOT_MUTUAL_CONTACT USER_PRIVACY_RESTRICTED
messages.checkChatInvite,user,INVITE_HASH_EMPTY INVITE_HASH_EXPIRED INVITE_HASH_INVALID
messages.clearAllDrafts,user,
messages.clearRecentStickers,user,
messages.createChat,user,USERS_TOO_FEW USER_RESTRICTED
messages.deleteChatUser,both,CHAT_ID_INVALID PEER_ID_INVALID USER_NOT_PARTICIPANT
messages.deleteHistory,user,PEER_ID_INVALID
messages.deleteMessages,both,MESSAGE_DELETE_FORBIDDEN
messages.deleteScheduledMessages,user,
messages.discardEncryption,user,CHAT_ID_EMPTY ENCRYPTION_ALREADY_DECLINED ENCRYPTION_ID_INVALID
messages.editChatAbout,both,
messages.editChatAdmin,user,CHAT_ID_INVALID
messages.editChatDefaultBannedRights,both,BANNED_RIGHTS_INVALID
messages.editChatPhoto,both,CHAT_ID_INVALID INPUT_CONSTRUCTOR_INVALID INPUT_FETCH_FAIL PEER_ID_INVALID PHOTO_EXT_INVALID
messages.editChatTitle,both,CHAT_ID_INVALID NEED_CHAT_INVALID
messages.editInlineBotMessage,both,MESSAGE_ID_INVALID MESSAGE_NOT_MODIFIED
messages.editMessage,both,CHANNEL_INVALID CHANNEL_PRIVATE CHAT_WRITE_FORBIDDEN INLINE_BOT_REQUIRED INPUT_USER_DEACTIVATED MEDIA_GROUPED_INVALID MEDIA_NEW_INVALID MEDIA_PREV_INVALID MESSAGE_AUTHOR_REQUIRED MESSAGE_EDIT_TIME_EXPIRED MESSAGE_EMPTY MESSAGE_ID_INVALID MESSAGE_NOT_MODIFIED PEER_ID_INVALID
messages.exportChatInvite,both,CHAT_ID_INVALID
messages.faveSticker,user,STICKER_ID_INVALID
